,分数,影评
82,很差,"忘不了前任就不要有现任了，扯着现任还想前任的就是既想当表子又想立牌坊，恶心的无以复加，这种还电影情怀，只是为自己出轨找个借口吧了，别说精神出轨不是出轨。没有结束就不要开始，做不到就别说自己成熟了，还是留在你那青春里吧。不敢为自己的过去负责，那还要继续祸害现...

                         (展开)"
83,推荐,"这篇影评可能有剧透

                        方小晓说“I  miss  you”，林见清回答“我也想你”，方小晓说“不，我是说我错过了你（I  missed  you）”就像歌曲《后来》里的词一样：后来，终于在眼泪中明白，有些人，一旦错过就不再！ 其实林见清和方小晓的爱情就是小打小闹，可这也是最接近现实的爱情，如果伊恩再也找不...

                         (展开)"
84,还行,"对于跨界导演真的不能太过苛刻，想想蔡康永的《“吃吃”的爱》、方文山的《听见下雨的声音》，哪部不是灾难，他们的通病就是电影语言的缺失，刻板的表达手法，了解基本技法却运用的蹩脚。 《后来的我们》，故事倒是讲完整了，但通篇全是依靠台词堆砌推动剧情，几乎没有任何隐喻...

                         (展开)"
85,很差,"这篇影评可能有剧透

                        抱着可以把我感动的稀里哗啦的态度去看的，结果看到一半，拿出来手机，果断一星。 演技不尬，至于网上喷的PPT式的衔接我也没感觉到，毕竟不是专业电影人，没有能力评价，我就像个一般看客一样，看了个故事，感觉到一些东西，三观不正，也或许是我三观不正哈哈哈。 1,女主中间有...

                         (展开)"
86,推荐,"这篇影评可能有剧透

                        【今天4月29号下午14点10分  晴 】  灼华 昨晚12点看完了《后来的我们》的电影。电影见清的父亲那封给小晓的信是这样写到的： 后来的我们什么都有了可惜没有了我们 。 吃什么还是家里好，那些外卖能好吃吗？一直想给你寄点吃的，又不好问见清，这些年他好像突然长大了，我知道...

                         (展开)"
87,力荐,"这篇影评可能有剧透

                        ""伊恩找到凯利的话，帮我跟她说对不起"" 眼泪刷的下来了。 林父最后写给小晓的信，眼睛大概是被粘豆包的蒸汽搞坏的吧，心疼。年夜饭的人越来越少，而林父却没有如实告诉见清，中国式的父母，永远都不想给儿女添麻烦。 伊恩找不到凯莉，世界的黑白，回忆一段又一段，i miss you，...

                         (展开)"
88,还行,"这篇影评可能有剧透

                        “小晓： 又快过年了，刚刚蒸了两屉粘豆包，起锅的时候，嘘到了眼睛。今年还是给你留了一屉，我老和你们说，吃什么还是家里好，那些外卖能好吃吗？一直想给你寄点吃的，又不好问见清。这些年他好像突然长大了，我知道那是因为你。缘分这事，能不负对方就好，能不负此生真的很难...

                         (展开)"
89,还行,"如题，虽然我知道这是人性之一，人没有完美的，但是真的没人觉得太多这样的故事让人扭曲了三观，使得这世间多了那么多荒唐事，当然，因为足够荒唐才显得这世界生机勃勃丰富多彩，但是后来的我们，还相爱，对自己法律上的另一半多么的不公平，多么的残忍，然而影片里的小晓个人...

                         (展开)"
90,还行,"这篇影评可能有剧透

                        恭喜奶茶刘若英，也靠着情怀当上了导演。 《后来的我们》这部电影，关于北漂的关键词都有——搬家、地下室、地铁站、春运、分手……虽然一眼就能看出是北京，但换一个城市用同一个漂泊的主题也是适用的。 只要你也曾经背井离乡，种种煽情，总有一个能戳中你。只不过，这部电影...

                         (展开)"
91,力荐,"今天去看了电影《后来的我们》，我想写一篇客观的评价。本来以为对我来说，“客观”会很难，因为我太爱刘若英了。认识她是因为电视剧《粉红女郎》，当时被她善良的人设所感动；喜欢她是因为看电视一次《同一首歌》上唱着《后来》的她的魅力，她真诚的眼神、温柔的歌声和她那90...

                         (展开)"
92,较差,"虽然田壮壮的爸爸演得是真好，但我还是不懂“你老公的爹写信给你老公前女友，说就算你们没在一起，我们也还是一家人”，这种事情值得感动的点在哪里？对前任有多想念，大概对现任就有多恶毒吧。 其实前半部凑段子搞笑还行吧，后半煽情就真的太矫情…歌词改台词，站桩对吼真的不...

                         (展开)"
93,力荐,"这篇影评可能有剧透

                        《后来的我们》和《前任三》都讲述的是前任的故事，都是爱的刻骨铭心，却因为一些小事而分道扬镳最终未成眷属。《后来的我们》交代了一对恋人的“相遇—在一起—分手”，是分手前的故事；而《前任三》是讲述了分手时的漫不经心到失去了才追悔莫及，是分手后的故事。爱情电影的...

                         (展开)"
94,还行,"现实有多残酷，相爱的人能走多远，我们说过哪些善意的谎言……两条感情线让你看到爱情在现实社会中的残酷和亲情逝去的遗憾！就像海报中每个字都缺失了一笔，我们的生活总有各种不完美，所以没有如果，请珍惜你拥有的一切，用力拥抱你爱的人，去见想见的人，说出内心的话，一段...

                         (展开)"
95,还行,"有多久了？大概快九年了吧？我和你从朋友到恋人再到朋友。 在一起的时候我们好像不怎么吵架，日子很平常的流水就过去了，我感觉不到你很爱我，所以我不能输，我也不把爱你表现出来，然后我们就这样在一起几年。 我能明白你对穷的深恶痛绝，我也能明白你天生的悲观主义，可惜我...

                         (展开)"
96,较差,"1.田壮壮导演撑死了整部戏，没他戏份后变得敷衍了事的直奔结束； 2.非电影人拍出的东西，总感觉隔着一座山，就像张艺谋做摄影出身，你永远感觉他和姜文是俩路数，但好歹人家都是能说清楚； 3.最烦人的是不清不楚的交代不清逻辑，明暗线搞的乱七八糟； 4.周冬雨演技渐长，井柏然...

                         (展开)"
97,还行,"这篇影评可能有剧透

                        那天从香港回来的路上，我就念叨着要去看《后来的我们》，小天说：“不要抱有太高期望，但也不一定，也有人哭的不行……“ 他还絮絮叨叨了一阵，但我的耳机里刚好播放到了《后来的我们》，我便调大了音量。 后来的我们（电影《后来的我们》片名曲）五月天-后来的我们 进电影院...

                         (展开)"
98,较差,"这篇影评可能有剧透

                        1、女主从一个物质庸俗女到一个矫情文艺女的转变，跨越了我所能理解的逻辑。 2、男主女主睡在一起后的第二天早上女主消失，后又问“我们还能做朋友吗”是在作什么，百思不解。 3、大家都是成年人了男女住一个屋子里，此时，女主还另有男朋友，是在搞什么？特意描写这段蠢蠢欲动...

                         (展开)"
